Protein,Total lipid (fat),Cholesterol,Ingredient,Thiamin,Riboflavin,Niacin,Pantothenic acid,Biotin
0.0,59.54,,cook like a diner,1.0,0.0,0.0,,
0.0,0.0,0.0,fruit juice,,,,,
59.0,39.85,51.0,epi loves the microwave,4.08,30.62,50.62,19.76,
0.0,0.0,,garlic,,,,,
0.0,0.0,,apricot,,,,,
11.94,20.0,0.0,clove,13.17,16.92,9.75,10.18,
16.28,0.88,0.0,soy sauce,2.75,12.69,13.73,,
0.56,0.0,0.0,drinks,,,,,
21.0,43.23,16.0,las vegas,,,,,
0.24,0.03,0.0,coffee grinder,1.17,5.85,1.19,,
2.68,0.15,0.0,hawaii,8.5,1.46,3.01,8.66,
14.28,76.92,23.67,bacon,,,,,
42.08,12.48,31.0,super bowl,5.5,12.85,32.09,,
0.0,0.0,0.0,rum,0.5,0.31,0.08,,
0.0,0.0,0.0,brandy,0.5,0.31,0.08,,
24.8,15.32,137.0,poach,5.17,30.62,0.0,,
26.48,1.88,39.67,cocktail party,1.75,1.92,11.29,,
1.46,46.23,0.0,olive,0.67,0.15,0.56,,
21.8,6.45,0.0,house & garden,,,,,
7.78,17.42,24.67,potato,8.92,11.0,6.2,,
8.82,8.71,0.0,halloween,133.33,138.46,128.75,,
2.36,0.0,0.0,yuca,,,,,
0.0,153.85,0.0,wok,0.0,0.0,0.0,0.0,
50.0,49.38,35.67,gouda,,,,,
,0.0,0.0,dallas,,,,,
26.5,19.94,14.33,octopus,13.75,7.85,15.9,,
2.56,8.88,4.67,soup,,,,,
2.22,0.0,0.0,passion fruit,,,,,
6.28,13.09,0.0,stuffing,11.33,8.23,9.22,,
48.6,6.18,26.67,canada,23.67,116.92,41.0,,
21.4,0.0,0.0,italy,,,,,
5.88,0.0,0.0,marshmallow,,,,,
1.4,0.43,0.0,plum,2.33,2.0,2.61,,
0.0,0.0,,rub,,,,,
42.8,38.46,23.67,mozzarella,,,,,
1.76,9.52,0.0,mushroom,,,,,
4.06,0.0,0.0,idaho,,,,,
31.86,21.06,12.33,bass,18.0,12.31,14.02,,
6.66,12.82,,mortar and pestle,,,,,
15.68,26.46,10.0,chile,9.75,14.0,5.99,,
6.92,1.66,1.6,low fat,4.04,15.08,0.8,,0.0
44.42,79.02,0.0,peanut butter,12.5,14.77,81.95,,
13.6,13.6,1.0,pizza,,,,,
50.0,54.92,35.67,vermont,,,,,
5.0,0.0,0.0,philippines,,,,,
1.3,4.31,0.67,squash,3.08,1.62,4.9,,
4.76,36.62,35.67,coffee,,,,,
0.0,153.85,0.0,sesame oil,0.0,0.0,0.0,,
4.68,34.92,6.67,cupcake,,,,,
7.48,18.62,17.33,maine,,,,,
25.0,2.75,0.0,pasta,83.33,23.38,33.5,,
8.0,1.54,0.0,chestnut,,,,,
6.0,4.62,0.0,muffin,,,,,
7.72,9.72,0.67,alabama,,,,,
18.8,57.85,,jamaica,,,,,
40.8,0.38,20.33,pacific palisades,,,,,
0.0,0.0,0.0,santa monica,,,,,
28.4,24.46,16.33,meatloaf,,,,,
2.2,0.35,0.0,omelet,3.67,2.08,4.03,,
4.04,1.51,,texas,8.75,18.85,7.0,7.3,
0.0,0.0,0.0,easter,,,,,
2.04,0.0,0.0,yellow squash,,,,,
9.3,13.75,33.67,summer,6.58,13.31,3.19,,
4.94,1.89,1.0,rhode island,,,,,
26.6,0.0,0.0,couscous,,,,,
5.26,7.09,0.0,salad,,,,,
5.36,18.62,3.33,pie,,,,,
0.0,0.0,0.0,suzanne goin,,,,,
21.4,26.62,13.33,sausage,,,,,
5.4,16.62,0.0,brownie,,,,,
24.2,34.31,15.0,mother's day,45.83,13.08,19.5,9.4,
0.0,0.0,0.0,22-minute meals,0.17,0.23,0.06,,
18.84,17.82,10.0,pan-fry,31.42,17.69,21.64,,
9.9,16.54,3.33,oyster,12.33,8.69,11.48,,
14.64,48.77,4.0,hazelnut,,,,,
0.4,0.0,0.0,fat free,0.67,0.0,0.06,,
0.0,0.0,,iced tea,,,,,
54.72,25.03,32.33,lamb chop,8.67,20.23,43.25,,
0.0,0.0,0.0,caraway,,,,,
57.78,14.94,28.33,anchovy,6.5,27.92,124.39,,
25.0,2.75,0.0,orzo,83.33,23.38,33.5,,
8.0,30.77,0.0,cherry,,,,,
5.64,1.08,0.0,arugula,,,,,
35.8,17.85,19.33,meat,,,,,
50.4,75.08,0.0,west virginia,54.42,10.08,77.5,35.2,
17.84,23.65,7.33,pot pie,14.08,10.92,16.56,,
24.0,31.69,13.67,frangelico,,,,,
